Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country,Customer_Name,Customer_Phone,Customer_Email,Customer_Address,Product_List_Title
826,2020-01-02 04:32:25.945945945,1039,521,1,142.0608125232136,4697.420195618569,,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,False,Wrong Item,Cash,True,East,Canada,Customer 826,+1-833-316-1097,customer.826.85@demo.com,"420 Third St, Chicago, USA",Product 40
116,2020-01-07 12:32:25.945945946,1080,535,8,426.67052054874875,5350.517195865819,,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,False,Not Specified,Cash,True,East,Canada,Customer 116,+1-942-543-7496,customer.116.38@demo.com,"932 Second St, New York, USA",Product 60
417,2020-01-06 05:11:21.081081081,1076,555,4,144.29507877767358,980.9134865562041,,Partner,High,WH-3,Express,Backorder,Unsatisfied,False,Damaged,Credit Card,True,West,Canada,Customer 417,+1-948-130-2697,customer.417.51@example.com,"755 Park Ave, Phoenix, USA",Product 97
367,2020-01-08 22:16:12.972972973,1097,524,9,159.05737262177763,5943.900905880649,0.1,Partner,Critical,WH-3,Express,Delivered,Unsatisfied,False,Wrong Item,Credit Card,False,East,Canada,Customer 367,+1-797-793-8108,customer.367.34@sample.com,"507 Main St, Houston, USA",Product 99
233,2020-01-05 13:11:21.081081081,1070,508,6,277.8227995958245,6757.282871927786,0.15,Reseller,Medium,WH-1,Overnight,Delivered,Unsatisfied,True,Late,Credit Card,False,North,Mexico,Customer 233,+1-733-608-8796,customer.233.76@sample.com,"671 Second St, New York, USA",Product 70
191,2020-01-05 23:34:03.243243243,1099,546,9,38.343780229108695,4743.788008955943,,Partner,Medium,WH-1,Regular,Pending,Satisfied,True,Late,PayPal,False,North,USA,Customer 191,+1-667-172-9201,customer.191.31@sample.com,"725 Second St, Houston, USA",Product 8
891,2020-01-06 22:29:11.351351351,1056,523,1,380.7977818635983,5013.353792234297,0.05,Direct,High,WH-2,Regular,Cancelled,Neutral,False,Damaged,Wire Transfer,False,West,Canada,Customer 891,+1-127-659-4236,customer.891.33@example.com,"482 Park Ave, New York, USA",Product 88
770,2020-01-05 17:17:50.270270270,1021,510,4,331.7974475135879,9438.36161081244,,Direct,Medium,WH-1,2-Day,Delivered,Neutral,True,Late,Credit Card,False,North,Canada,Customer 770,+1-149-843-8592,customer.770.4@example.com,"886 Third St, New York, USA",Product 45
387,2020-01-07 01:17:50.270270270,1036,515,2,379.5816472442196,7036.432792204224,0.1,Online,High,WH-1,Express,Backorder,Neutral,True,Wrong Item,Credit Card,False,South,Canada,Customer 387,+1-887-241-5885,customer.387.11@sample.com,"606 Fourth St, Los Angeles, USA",Product 95
641,2020-01-02 09:04:51.891891891,1099,549,9,,6980.8210479234385,0.05,Direct,Low,WH-1,Express,Cancelled,Unsatisfied,False,Damaged,Credit Card,True,West,USA,Customer 641,+1-939-202-2164,customer.641.70@demo.com,"250 Park Ave, Phoenix, USA",Product 40
278,2020-01-02 00:12:58.378378378,1020,542,6,184.94437854530597,5034.828782162813,0.2,Partner,Low,WH-1,Regular,Pending,Satisfied,False,Late,Cash,True,North,Mexico,Customer 278,+1-947-594-3025,customer.278.41@demo.com,"640 Fourth St, Los Angeles, USA",Product 84
649,2020-01-02 23:21:04.864864864,1096,535,9,160.81995752356536,7657.985051266169,,Partner,Low,WH-3,Overnight,Backorder,Satisfied,False,Damaged,Cash,True,South,Mexico,Customer 649,+1-493-921-4569,customer.649.29@demo.com,"670 Fourth St, Los Angeles, USA",Product 63
599,2020-01-06 21:50:16.216216216,1046,548,2,191.84533983076264,3755.9437915651183,0.1,Reseller,High,WH-1,Overnight,Delivered,Unsatisfied,False,Late,Credit Card,True,West,Canada,Customer 599,+1-463-466-2658,customer.599.44@example.com,"9 Park Ave, Los Angeles, USA",Product 99
516,2020-01-08 01:30:48.648648648,1026,520,1,47.71993886183348,881.3191613109819,,Reseller,Low,WH-3,Express,Delivered,Neutral,False,Damaged,PayPal,False,West,Mexico,Customer 516,+1-947-615-3413,customer.516.6@demo.com,"721 Park Ave, Los Angeles, USA",Product 11
871,2020-01-03 06:16:12.972972972,1018,521,4,,6869.126171070717,0.2,Partner,High,WH-2,Overnight,Pending,Unsatisfied,True,Damaged,Credit Card,True,West,USA,Customer 871,+1-390-268-7586,customer.871.19@sample.com,"185 Third St, New York, USA",Product 57
46,2020-01-09 18:48:38.918918919,1062,531,9,344.4824383994672,7743.24610741125,0.2,Partner,High,WH-3,Overnight,Pending,Unsatisfied,False,Wrong Item,Wire Transfer,True,East,Canada,Customer 46,+1-487-321-1989,customer.46.98@sample.com,"522 Park Ave, Los Angeles, USA",Product 54
481,2020-01-02 14:55:08.108108108,1053,537,5,345.86750277873176,6887.646511271185,0.05,Direct,Critical,WH-3,2-Day,Delivered,Neutral,True,Damaged,PayPal,False,West,USA,Customer 481,+1-128-201-1615,customer.481.48@sample.com,"634 Fourth St, Houston, USA",Product 71
671,2020-01-07 19:40:32.432432432,1100,534,8,97.83409531224757,5671.2764325260505,,Reseller,Low,WH-2,Overnight,Pending,Unsatisfied,False,Not Specified,Wire Transfer,True,West,Mexico,Customer 671,+1-883-343-7369,customer.671.44@sample.com,"226 Third St, Houston, USA",Product 45
744,2020-01-04 09:04:51.891891891,1025,542,3,47.09286638179586,6154.682460834315,0.05,Direct,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,True,North,Mexico,Customer 744,+1-563-455-7993,customer.744.48@sample.com,"27 Main St, Phoenix, USA",Product 7
375,2020-01-02 10:22:42.162162162,1006,524,8,373.5292002097704,7419.523116226637,0.05,Direct,Critical,WH-2,Regular,Backorder,Neutral,False,Late,Credit Card,True,North,Mexico,Customer 375,+1-835-279-8349,customer.375.58@sample.com,"215 Main St, Houston, USA",Product 84
717,2020-01-01 02:22:42.162162162,1054,528,8,202.01109286213273,3869.92128893702,0.1,Partner,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,False,West,USA,Customer 717,+1-925-588-8548,customer.717.83@sample.com,"784 Second St, Los Angeles, USA",Product 8
136,2020-01-05 16:25:56.756756756,1005,544,1,38.465056519371394,4107.639467733516,0.15,Partner,High,WH-2,Regular,Backorder,Neutral,True,Not Specified,Wire Transfer,True,West,USA,Customer 136,+1-296-124-1713,customer.136.62@sample.com,"378 Fourth St, Los Angeles, USA",Product 80
166,2020-01-08 05:50:16.216216216,1036,516,8,,3135.9144573870635,0.1,Online,Low,WH-2,Express,Delivered,Unsatisfied,True,Not Specified,Credit Card,False,East,Canada,Customer 166,+1-146-441-8409,customer.166.17@demo.com,"130 Fourth St, Phoenix, USA",Product 86
651,2020-01-01 09:56:45.405405405,1081,546,7,476.87935833122793,,0.15,Reseller,High,WH-2,Regular,Pending,Satisfied,True,Damaged,Wire Transfer,True,East,Canada,Customer 651,+1-151-114-4395,customer.651.72@example.com,"679 Second St, New York, USA",Product 26
779,2020-01-06 08:38:55.135135135,1012,526,3,278.7253898668457,6016.129646141524,0.05,Reseller,Critical,WH-3,2-Day,Backorder,Satisfied,False,Late,Wire Transfer,True,North,Canada,Customer 779,+1-222-424-8848,customer.779.96@sample.com,"668 Main St, Chicago, USA",Product 55
902,2020-01-02 16:51:53.513513513,1004,531,3,497.8592436544529,4293.659511892614,0.15,Online,Medium,WH-1,2-Day,Cancelled,Satisfied,True,,PayPal,True,North,Mexico,Customer 902,+1-255-592-9077,customer.902.21@sample.com,"844 Park Ave, Chicago, USA",Product 56
228,2020-01-04 01:17:50.270270270,1070,525,6,343.01396304020284,1607.5392082791188,0.2,Partner,Low,WH-2,2-Day,Delivered,Neutral,True,Not Specified,Credit Card,False,South,USA,Customer 228,+1-985-266-8915,customer.228.51@example.com,"238 Third St, New York, USA",Product 90
34,2020-01-03 19:40:32.432432432,1074,529,6,323.83326066616354,4028.9389949315796,0.15,Reseller,Low,WH-1,2-Day,Backorder,Unsatisfied,True,Not Specified,Wire Transfer,True,South,Canada,Customer 34,+1-590-575-8430,customer.34.53@sample.com,"174 Second St, Los Angeles, USA",Product 7
612,2020-01-02 03:14:35.675675675,1007,538,6,,3887.6636718689533,0.1,Direct,High,WH-2,Regular,Cancelled,Neutral,True,Not Specified,Cash,True,South,Canada,Customer 612,+1-353-498-3172,customer.612.65@sample.com,"529 Second St, Houston, USA",Product 77
234,2020-01-04 03:01:37.297297297,1070,511,3,222.07984108263994,9349.77168594007,,Reseller,High,WH-1,Express,Cancelled,Satisfied,False,Not Specified,Cash,True,West,Mexico,Customer 234,+1-195-845-9770,customer.234.55@demo.com,"522 Third St, Los Angeles, USA",Product 8
50,2020-01-07 04:19:27.567567567,1092,545,3,,2167.170460122895,,Online,Critical,WH-2,Regular,Delivered,Unsatisfied,True,Late,Wire Transfer,False,West,Mexico,Customer 50,+1-820-771-8159,customer.50.82@example.com,"917 Main St, New York, USA",Product 61
8,2020-01-01 04:19:27.567567567,1085,536,4,42.34482362871837,5852.379462596614,0.05,Partner,Medium,WH-3,Regular,Backorder,Satisfied,True,Damaged,Cash,False,West,Canada,Customer 8,+1-732-418-8559,customer.8.54@example.com,"599 Fourth St, Los Angeles, USA",Product 31
330,2020-01-06 22:29:11.351351351,1064,546,5,473.7636914436987,2226.899238564938,0.15,Partner,Medium,WH-2,2-Day,Backorder,Unsatisfied,True,,Cash,False,West,Mexico,Customer 330,+1-864-296-9833,customer.330.49@demo.com,"733 Fourth St, New York, USA",Product 60
822,2020-01-09 09:56:45.405405405,1040,525,8,139.3903724999222,,0.2,Online,Critical,WH-2,2-Day,Pending,Satisfied,True,Wrong Item,PayPal,False,North,USA,Customer 822,+1-805-721-3113,customer.822.39@example.com,"786 Second St, New York, USA",Product 6
804,2020-01-08 23:08:06.486486486,1082,533,7,361.0345848594685,3854.4774449147,0.05,Online,Low,WH-3,Overnight,Cancelled,Satisfied,False,Not Specified,PayPal,False,East,Canada,Customer 804,+1-773-703-7143,customer.804.74@demo.com,"358 Park Ave, Los Angeles, USA",Product 7
875,2020-01-08 21:11:21.081081081,1048,550,4,163.26121471307349,4446.708505624851,0.05,Reseller,High,WH-1,2-Day,Delivered,Unsatisfied,True,Wrong Item,Wire Transfer,True,West,Canada,Customer 875,+1-495-388-2235,customer.875.23@example.com,"470 Main St, Phoenix, USA",Product 76
932,2020-01-04 14:42:09.729729729,1003,501,9,352.82338911483964,3876.6737049585868,0.05,Partner,Medium,WH-3,2-Day,Delivered,Neutral,False,,Credit Card,False,South,USA,Customer 932,+1-807-302-5142,customer.932.26@demo.com,"993 Fourth St, New York, USA",Product 70
336,2020-01-09 16:00:00.000000000,1011,553,6,110.29325343806914,8853.637048945504,0.2,Partner,Low,WH-1,Express,Pending,Neutral,True,Damaged,PayPal,True,North,USA,Customer 336,+1-526-586-7347,customer.336.80@sample.com,"37 Third St, Phoenix, USA",Product 23
881,2020-01-05 18:35:40.540540540,1049,522,9,383.52828600547036,,0.2,Partner,Low,WH-2,Regular,Pending,Neutral,False,Damaged,Wire Transfer,False,North,USA,Customer 881,+1-431-747-1862,customer.881.52@example.com,"540 Third St, Phoenix, USA",Product 2
322,2020-01-06 11:27:34.054054054,1075,512,1,294.99492356470483,2925.695550750819,,Reseller,Medium,WH-2,2-Day,Delivered,Neutral,False,Damaged,Credit Card,True,North,Canada,Customer 322,+1-961-798-7940,customer.322.9@sample.com,"458 Third St, Los Angeles, USA",Product 9
980,2020-01-05 03:27:34.054054054,1062,552,9,239.86253341331354,5982.6122826851115,0.2,Online,Critical,WH-2,Regular,Cancelled,Satisfied,True,Damaged,Cash,True,South,Mexico,Customer 980,+1-543-780-8216,customer.980.76@example.com,"542 Second St, Chicago, USA",Product 1
374,2020-01-01 07:47:01.621621621,1070,560,7,334.89312398367696,4253.975325986898,0.1,Reseller,High,WH-1,Regular,Cancelled,Unsatisfied,False,Damaged,Cash,True,West,USA,Customer 374,+1-851-236-5862,customer.374.50@example.com,"492 Park Ave, Houston, USA",Product 82
54,2020-01-06 02:22:42.162162162,1026,519,7,389.9196136975364,6625.079861479777,0.05,Online,Low,WH-1,Express,Pending,Neutral,False,Wrong Item,Cash,False,East,Canada,Customer 54,+1-464-770-4865,customer.54.13@demo.com,"804 Park Ave, Houston, USA",Product 63
997,2020-01-08 09:56:45.405405405,1097,516,8,340.2571619914079,1274.9617933079762,0.1,Direct,Critical,WH-3,Express,Delivered,Neutral,True,Late,PayPal,False,South,Canada,Customer 997,+1-559-227-1716,customer.997.48@example.com,"646 Main St, Houston, USA",Product 96
169,2020-01-08 20:19:27.567567567,1099,560,2,388.83951822014905,597.7027113890742,0.05,Reseller,Low,WH-1,Overnight,Pending,Neutral,False,Late,Credit Card,True,North,Canada,Customer 169,+1-913-160-3211,customer.169.50@sample.com,"87 Third St, New York, USA",Product 17
427,2020-01-02 17:56:45.405405405,1069,556,7,474.07442688317434,6089.346099339957,0.05,Online,High,WH-3,2-Day,Delivered,Unsatisfied,True,Late,Wire Transfer,False,South,Canada,Customer 427,+1-620-133-5323,customer.427.12@example.com,"498 Second St, Chicago, USA",Product 42
801,2020-01-05 13:11:21.081081081,1059,535,5,319.87174892090985,,0.2,Direct,Critical,WH-1,Overnight,Backorder,Unsatisfied,True,Late,Wire Transfer,False,West,USA,Customer 801,+1-854-646-4405,customer.801.8@sample.com,"642 Main St, New York, USA",Product 93
592,2020-01-06 21:37:17.837837837,1008,502,9,276.68444339571187,6520.260197772526,0.05,Online,Medium,WH-1,Express,Delivered,Satisfied,False,Damaged,PayPal,False,North,Mexico,Customer 592,+1-641-491-3279,customer.592.37@sample.com,"781 Main St, Los Angeles, USA",Product 38
764,2020-01-02 16:51:53.513513513,1062,522,1,181.7550618002193,1261.7741897150763,0.1,Reseller,Medium,WH-2,2-Day,Pending,Unsatisfied,False,Wrong Item,PayPal,False,North,Mexico,Customer 764,+1-407-543-3473,customer.764.39@example.com,"638 Third St, Los Angeles, USA",Product 6
853,2020-01-01 06:03:14.594594594,1093,503,1,451.47083888832924,9486.723453533194,0.1,Partner,Medium,WH-1,Regular,Delivered,Unsatisfied,False,Not Specified,PayPal,False,West,USA,Customer 853,+1-847-925-2586,customer.853.89@example.com,"88 Park Ave, Chicago, USA",Product 99
211,2020-01-05 17:17:50.270270270,1018,524,5,,3481.841726892759,0.05,Online,High,WH-2,2-Day,Cancelled,Satisfied,False,Damaged,Credit Card,False,East,USA,Customer 211,+1-484-982-1064,customer.211.80@sample.com,"946 Third St, Phoenix, USA",Product 12
493,2020-01-03 07:08:06.486486486,1038,520,8,146.147860283959,1983.9143253406933,,Online,Low,WH-3,Express,Delivered,Satisfied,True,Not Specified,Credit Card,False,South,Canada,Customer 493,+1-729-976-2630,customer.493.68@demo.com,"815 Second St, Phoenix, USA",Product 33
930,2020-01-05 18:48:38.918918918,1017,556,8,391.76026733393553,9919.561370360172,0.05,Partner,Low,WH-3,Regular,Pending,Neutral,False,Not Specified,Wire Transfer,True,East,Canada,Customer 930,+1-801-262-3640,customer.930.18@sample.com,"804 Fourth St, Phoenix, USA",Product 10
916,2020-01-07 01:04:51.891891891,1005,508,1,348.5331485099032,1829.8800788567473,,Direct,Medium,WH-1,Overnight,Backorder,Satisfied,False,Late,Wire Transfer,False,South,Canada,Customer 916,+1-654-553-1662,customer.916.33@example.com,"657 Main St, Phoenix, USA",Product 19
701,2020-01-05 21:37:17.837837837,1002,515,6,275.0434518806596,7684.411018513126,0.05,Partner,Low,WH-1,Express,Backorder,Unsatisfied,True,Wrong Item,Wire Transfer,False,South,USA,Customer 701,+1-325-284-4011,customer.701.52@sample.com,"337 Third St, New York, USA",Product 92
88,2020-01-06 01:17:50.270270270,1052,514,1,199.94791467326706,,0.15,Partner,Medium,WH-3,2-Day,Cancelled,Neutral,False,Late,Credit Card,True,East,USA,Customer 88,+1-804-498-6465,customer.88.83@sample.com,"495 Park Ave, Chicago, USA",Product 52
937,2020-01-02 06:42:09.729729729,1073,506,4,249.36286000335363,6140.916003462796,,Online,Low,WH-1,Express,Cancelled,Satisfied,False,Wrong Item,Cash,False,West,Mexico,Customer 937,+1-835-362-2449,customer.937.86@sample.com,"387 Main St, Phoenix, USA",Product 73
364,2020-01-04 02:35:40.540540540,1097,521,9,36.77086580047643,5098.195438839339,,Online,Critical,WH-1,Regular,Backorder,Neutral,True,Not Specified,PayPal,False,South,Canada,Customer 364,+1-544-186-9116,customer.364.83@example.com,"38 Second St, Houston, USA",Product 50
885,2020-01-02 13:11:21.081081081,1059,544,5,,2750.777942018873,0.1,Online,Low,WH-2,Regular,Cancelled,Neutral,True,Late,PayPal,False,West,USA,Customer 885,+1-704-232-2162,customer.885.69@example.com,"69 Third St, Phoenix, USA",Product 72
462,2020-01-02 17:17:50.270270270,1011,530,4,316.18830880742945,1962.04909459085,0.15,Reseller,High,WH-2,Express,Pending,Satisfied,False,Late,Wire Transfer,False,North,USA,Customer 462,+1-151-228-6254,customer.462.3@demo.com,"975 Second St, New York, USA",Product 18
301,2020-01-07 09:17:50.270270270,1040,547,2,460.02895175125025,5018.163822309079,0.15,Partner,Medium,WH-3,2-Day,Backorder,Satisfied,False,Damaged,Cash,True,South,Canada,Customer 301,+1-891-187-2649,customer.301.25@sample.com,"795 Second St, Chicago, USA",Product 78
886,2020-01-06 20:58:22.702702702,1037,502,7,316.0608835761205,1421.173874171535,,Online,Medium,WH-3,Regular,Cancelled,Satisfied,True,,Wire Transfer,False,West,Canada,Customer 886,+1-768-592-1846,customer.886.11@sample.com,"758 Fourth St, Chicago, USA",Product 11
528,2020-01-08 19:14:35.675675675,1061,531,4,341.2528811457483,8545.42863207505,0.2,Partner,High,WH-1,Express,Cancelled,Satisfied,True,Late,Cash,False,West,Mexico,Customer 528,+1-301-219-8979,customer.528.24@example.com,"995 Park Ave, Phoenix, USA",Product 78
569,2020-01-08 12:58:22.702702702,1083,526,8,322.4672409790084,5857.235884178425,0.1,Direct,Low,WH-1,Regular,Cancelled,Unsatisfied,True,Not Specified,Cash,True,West,USA,Customer 569,+1-113-958-3293,customer.569.27@demo.com,"564 Main St, Phoenix, USA",Product 37
787,2020-01-06 12:06:29.189189189,1016,560,4,78.75901391482235,1318.255321104963,0.2,Online,High,WH-2,Regular,Backorder,Unsatisfied,True,Wrong Item,PayPal,False,South,USA,Customer 787,+1-568-209-7496,customer.787.40@demo.com,"524 Fourth St, Los Angeles, USA",Product 25
762,2020-01-06 23:21:04.864864864,1047,554,2,167.36945479161722,6072.927223694795,0.15,Online,Medium,WH-1,Express,Cancelled,Unsatisfied,True,Damaged,PayPal,True,South,Mexico,Customer 762,+1-429-969-5858,customer.762.21@demo.com,"451 Main St, Los Angeles, USA",Product 92
120,2020-01-08 21:50:16.216216216,1008,515,2,441.2768015815277,5262.118623944429,0.15,Partner,Low,WH-2,2-Day,Cancelled,Unsatisfied,True,,Wire Transfer,False,North,Mexico,Customer 120,+1-214-150-6488,customer.120.92@example.com,"796 Third St, New York, USA",Product 49
614,2020-01-09 04:06:29.189189189,1023,506,6,328.167939042672,622.5259630004916,,Direct,High,WH-3,2-Day,Pending,Unsatisfied,False,,Wire Transfer,True,North,Canada,Customer 614,+1-661-704-3939,customer.614.58@sample.com,"542 Third St, Chicago, USA",Product 20
938,2020-01-04 17:30:48.648648648,1068,522,6,206.92472794645772,5968.137572080779,0.15,Direct,Low,WH-1,Regular,Cancelled,Neutral,True,Not Specified,Credit Card,False,South,Mexico,Customer 938,+1-265-791-9619,customer.938.79@sample.com,"358 Third St, Houston, USA",Product 20
460,2020-01-05 15:21:04.864864864,1041,510,5,400.3738846237724,8151.60712834987,0.05,Partner,High,WH-3,Regular,Delivered,Neutral,False,Damaged,Cash,True,West,Mexico,Customer 460,+1-680-920-9315,customer.460.60@demo.com,"930 Main St, Phoenix, USA",Product 74
217,2020-01-08 03:53:30.810810810,1083,521,6,356.78346163108847,,0.15,Direct,Low,WH-3,Overnight,Cancelled,Unsatisfied,True,,Credit Card,False,East,USA,Customer 217,+1-562-685-5470,customer.217.51@demo.com,"723 Park Ave, Phoenix, USA",Product 78
10,2020-01-02 02:09:43.783783783,1063,538,9,64.38906840774428,1802.91063745106,0.05,Online,High,WH-3,Regular,Backorder,Unsatisfied,True,Not Specified,Wire Transfer,False,South,Mexico,Customer 10,+1-387-912-7521,customer.10.74@demo.com,"443 Fourth St, Phoenix, USA",Product 23
51,2020-01-09 14:55:08.108108108,1095,535,5,280.72547402986567,5893.409520345019,,Partner,Low,WH-1,Express,Cancelled,Satisfied,False,Not Specified,Credit Card,True,South,Canada,Customer 51,+1-507-618-1268,customer.51.59@example.com,"440 Main St, Phoenix, USA",Product 59
688,2020-01-07 19:53:30.810810810,1098,521,7,118.95703932660344,2304.3932963468287,,Partner,Critical,WH-2,2-Day,Delivered,Unsatisfied,True,Late,PayPal,True,North,Canada,Customer 688,+1-443-596-4484,customer.688.28@demo.com,"233 Second St, Chicago, USA",Product 11
243,2020-01-06 16:38:55.135135135,1055,532,3,428.35461163528686,8109.3166538319665,0.05,Reseller,Critical,WH-3,Regular,Delivered,Neutral,False,Damaged,Credit Card,False,South,USA,Customer 243,+1-408-477-9327,customer.243.94@sample.com,"849 Third St, Los Angeles, USA",Product 18
961,2020-01-07 01:56:45.405405405,1079,557,1,498.64657095276533,3237.7529966155303,0.2,Online,Low,WH-2,Regular,Cancelled,Satisfied,True,,Credit Card,False,East,Mexico,Customer 961,+1-926-340-5318,customer.961.33@sample.com,"973 Fourth St, Los Angeles, USA",Product 47
265,2020-01-05 05:50:16.216216216,1075,552,3,381.08200149587503,4596.7217630198,0.05,Direct,Critical,WH-3,2-Day,Cancelled,Satisfied,True,,PayPal,False,West,Canada,Customer 265,+1-196-246-8349,customer.265.28@demo.com,"351 Second St, Houston, USA",Product 72
525,2020-01-07 03:14:35.675675675,1086,529,9,17.404235265092765,1696.5743656039035,0.05,Reseller,Critical,WH-2,Express,Delivered,Unsatisfied,True,Wrong Item,Credit Card,True,West,USA,Customer 525,+1-614-306-1947,customer.525.44@demo.com,"371 Park Ave, Los Angeles, USA",Product 81
967,2020-01-05 20:32:25.945945945,1018,523,5,425.22008597997313,6055.864207405013,0.15,Partner,Low,WH-3,Overnight,Delivered,Neutral,True,Late,Credit Card,False,North,Canada,Customer 967,+1-367-225-4749,customer.967.96@sample.com,"716 Third St, Chicago, USA",Product 52
245,2020-01-09 18:09:43.783783783,1003,516,4,480.7072180014679,5980.145120760652,0.1,Direct,Critical,WH-1,Express,Pending,Neutral,True,Late,Credit Card,False,East,USA,Customer 245,+1-913-641-5221,customer.245.88@sample.com,"880 Third St, Los Angeles, USA",Product 41
346,2020-01-06 18:09:43.783783783,1026,537,4,210.61191519033898,6536.436390188143,0.2,Partner,Critical,WH-2,Overnight,Delivered,Satisfied,False,Damaged,Wire Transfer,False,South,USA,Customer 346,+1-862-232-7755,customer.346.24@example.com,"4 Fourth St, Phoenix, USA",Product 39
390,2020-01-06 06:42:09.729729729,1057,506,6,333.8969845811869,2221.2411509757867,,Online,Low,WH-2,2-Day,Delivered,Unsatisfied,False,Wrong Item,Wire Transfer,True,South,USA,Customer 390,+1-619-697-8512,customer.390.49@sample.com,"839 Third St, Houston, USA",Product 41
133,2020-01-01 13:50:16.216216216,1051,527,8,446.20535129172544,6279.035250073831,0.2,Reseller,High,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,Cash,True,West,USA,Customer 133,+1-216-557-3021,customer.133.4@example.com,"144 Second St, Los Angeles, USA",Product 1
159,2020-01-09 08:51:53.513513513,1056,549,5,265.4350633505281,6308.904306643778,,Direct,Medium,WH-3,Overnight,Delivered,Unsatisfied,True,Not Specified,Cash,False,North,Mexico,Customer 159,+1-548-230-8512,customer.159.18@demo.com,"50 Third St, New York, USA",Product 27
378,2020-01-01 21:11:21.081081081,1051,551,6,158.43614376381032,8151.585408936801,0.15,Reseller,Low,WH-2,2-Day,Delivered,Satisfied,False,Wrong Item,PayPal,True,South,USA,Customer 378,+1-270-683-5786,customer.378.54@sample.com,"666 Park Ave, Houston, USA",Product 47
458,2020-01-08 08:12:58.378378378,1078,510,8,436.9928767535186,2032.9899046896396,0.15,Partner,Low,WH-2,Overnight,Cancelled,Neutral,False,Not Specified,PayPal,True,West,USA,Customer 458,+1-837-459-5864,customer.458.57@sample.com,"906 Second St, New York, USA",Product 1
